0.626783365745994
id	name	parent	d2p
1	B	13	5.0
2	C	11	3.0
3	D	11	3.0
4	E	9	1.0
5	F	9	1.0
6	G	10	2.0
7	H	10	2.0
8	I	12	3.0
9	EF	14	4.0
10	GH	12	1.0
11	CD	13	2.0
12	GHI	14	2.0
13	BCD	15	3.0
14	EFGHI	15	3.0
15	BCDEFGHI	16	2.0
id	name	parent	d2p
0	6*	9	2.5481212472355694
1	7*	9	2.5481212472355694
2	8*	10	3.8708668977550342
3	4*	8	2.4514772247156476
4	5*	8	2.4514772247156476
5	2*	11	4.554689362613816
6	3*	11	4.554689362613816
7	1*	12	5.219940543544702
8	4*5*	13	2.9951577962103233
9	6*7*	10	1.3227456505194648
10	6*7*8*	13	1.5757681231709366
11	2*3*	12	0.6652511809308859
12	1*2*3*	14	3.131750278849154
13	4*5*6*7*8*	14	2.905055801467885
14	1*2*3*4*5*6*7*8*	-1	-1.0
