id	name	parent	d2p
0	2*	40	3.157522409468384
1	3*	40	3.157522409468384
2	1*	33	1.8122048490440834
3	1*_3	28	0.19808964848755672
4	1*_4	27	0.09905595976171602
5	1*_1	30	0.8600086809811561
6	1*_2	30	0.8600086809811561
7	4*	35	2.3579433109555206
8	7*_5	32	1.2982415025178047
9	5*	29	0.5662851068727592
10	2*_6	29	0.5662851068727592
11	2*_7	43	4.4868448816866575
12	3*_7	43	4.4868448816866575
13	1*_7	46	5.894879384654159
14	7*	45	5.637768676779217
15	6*	37	2.768100286991766
16	6*_12	31	0.9072089085716997
17	6*_13	31	0.9072089085716997
18	8*	47	5.914293256879406
19	4*_8	39	2.926354413495409
20	5*_8	38	2.7857483387549347
21	5*_9	38	2.7857483387549347
22	8*_8	42	4.446677186027742
23	7*_8	36	2.7245967233402375
24	6*_8	34	2.2214071485436513
25	6*_11	34	2.2214071485436513
26	6*_10	41	4.332498040251289
27	1*_d_4	28	0.0990336887258407
28	1*_d_3	33	1.6141152005565267
29	5*_t_6	32	0.7319563956450454
30	1*_d_2	27	-0.7609527212194401
31	6*_d_13	37	1.8608913784200662
32	5*_t_5	35	1.0597018084377159
33	1*_d_1	49	4.582882406452514
34	6*_d_11	36	0.5031895747965862
35	4*5*	51	6.759997434930626
36	6*7*_8	41	1.6079013169110514
37	6*_d_12	45	2.869668389787451
38	5*_d_9	39	0.14060607474047426
39	4*5*_8	44	2.432418879287393
40	2*3*	49	3.2375648460282136
41	6*7*_d_10	42	0.11417914577645294
42	6*7*8*_8	44	0.9120961067550599
43	2*3*_7	46	1.4080345029675012
44	4*5*6*7*8*_8	48	0.9399130875609529
45	6*7*	47	0.27652458010018943
46	1*2*3*_7	50	1.5534092922841145
47	6*7*8*	48	0.3843931234643483
48	6*7*8*_d_8	50	1.1496022965945185
49	1*2*3*	52	3.142368220209769
50	6*7*8*_t_7	51	1.6696520689478733
51	4*5*6*7*8*	52	0.41951472982021976
52	1*2*3*4*5*6*7*8*	None	0.717013586117325
